Date,TSLA,NVDA,AMD,INTC
2023-11-29,244.13999938964844,48.11164474487305,123.8499984741211,44.3460807800293
2023-11-30,240.0800018310547,46.74245071411133,121.16000366210938,44.1092529296875
2023-12-01,238.8300018310547,46.73745346069336,121.38999938964844,43.16193771362305
2023-12-04,235.5800018310547,45.483192443847656,118.56999969482422,41.790306091308594
2023-12-05,238.72000122070312,46.54266357421875,118.37999725341797,41.365989685058594
2023-12-06,239.3699951171875,45.48019790649414,116.81999969482422,40.72458267211914
2023-12-07,242.63999938964844,46.5726432800293,128.3699951171875,41.59295654296875
2023-12-08,243.83999633789062,47.4821891784668,128.9199981689453,42.135684967041016
2023-12-11,239.74000549316406,46.60363006591797,134.41000366210938,43.95136642456055
2023-12-12,237.00999450683594,47.63311767578125,137.61000061035156,43.45797348022461
2023-12-13,239.2899932861328,48.063899993896484,138.19000244140625,43.9809684753418
2023-12-14,251.0500030517578,48.32577133178711,138.0,44.582908630371094
2023-12-15,253.5,48.865501403808594,139.14999389648438,45.549957275390625
2023-12-18,252.0800018310547,50.05189895629883,138.89999389648438,45.0861701965332
2023-12-19,257.2200012207031,49.579139709472656,140.14999389648438,46.04335021972656
2023-12-20,247.13999938964844,48.086883544921875,135.47000122070312,45.15523910522461
2023-12-21,254.5,48.965450286865234,139.91000366210938,46.457801818847656
2023-12-22,252.5399932861328,48.80552673339844,139.60000610351562,47.365638732910156
2023-12-26,256.6099853515625,49.25429916381836,143.41000366210938,49.832603454589844
2023-12-27,261.44000244140625,49.39223098754883,146.07000732421875,50.08916473388672
2023-12-28,253.17999267578125,49.49718475341797,148.75999450683594,49.72405242919922
2023-12-29,248.47999572753906,49.49718475341797,147.41000366210938,49.58590316772461
2024-01-02,248.4199981689453,48.143856048583984,138.5800018310547,47.168277740478516
2024-01-03,238.4499969482422,47.545162200927734,135.32000732421875,46.42819595336914
2024-01-04,237.92999267578125,47.97394561767578,136.00999450683594,46.250572204589844
2024-01-05,237.49000549316406,49.0723876953125,138.5800018310547,46.27030944824219
2024-01-08,240.4499969482422,52.22681427001953,146.17999267578125,47.8096923828125
2024-01-09,234.9600067138672,53.11336898803711,149.25999450683594,47.41497802734375
2024-01-10,233.94000244140625,54.32276153564453,148.5399932861328,46.84264373779297
2024-01-11,227.22000122070312,54.794525146484375,148.02000427246094,47.010398864746094
2024-01-12,218.88999938964844,54.68258285522461,146.55999755859375,46.49726486206055
2024-01-16,219.91000366210938,56.35374450683594,158.74000549316406,46.43806076049805
2024-01-17,215.5500030517578,56.0249137878418,160.1699981689453,45.45127868652344
2024-01-18,211.8800048828125,57.07838439941406,162.6699981689453,46.12229537963867
2024-01-19,212.19000244140625,59.461185455322266,174.22999572753906,47.51365661621094
2024-01-22,208.8000030517578,59.62409973144531,168.17999267578125,47.582733154296875
2024-01-23,209.13999938964844,59.842994689941406,168.4199981689453,48.24387741088867
2024-01-24,207.8300018310547,61.33124542236328,178.2899932861328,48.44123077392578
2024-01-25,182.6300048828125,61.586116790771484,180.3300018310547,48.89515686035156
2024-01-26,183.25,61.00041198730469,177.25,43.0731315612793
2024-01-29,190.92999267578125,62.43369674682617,177.8300018310547,43.260616302490234
2024-01-30,191.58999633789062,62.74253463745117,172.05999755859375,42.3527717590332
2024-01-31,187.2899932861328,61.49617004394531,167.69000244140625,42.51066589355469
2024-02-01,188.86000061035156,62.99541473388672,170.47999572753906,42.78696060180664
2024-02-02,187.91000366210938,66.12683868408203,177.66000366210938,42.03700256347656
2024-02-05,181.05999755859375,69.2972640991211,174.22999572753906,42.20475769042969
2024-02-06,185.10000610351562,68.18881225585938,167.8800048828125,42.29877853393555
2024-02-07,187.5800018310547,70.0638656616211,170.94000244140625,42.33836364746094
2024-02-08,189.55999755859375,69.60609436035156,169.35000610351562,42.061256408691406
2024-02-09,193.57000732421875,72.09686279296875,172.47999572753906,42.86289596557617
2024-02-12,188.1300048828125,72.21178436279297,171.91000366210938,43.57545852661133
2024-02-13,184.02000427246094,72.09186553955078,171.5399932861328,42.71444320678711
2024-02-14,188.7100067138672,73.86297607421875,178.6999969482422,43.73380661010742
2024-02-15,200.4499969482422,72.62158203125,176.75999450683594,43.595252990722656
2024-02-16,199.9499969482422,72.57660675048828,173.8699951171875,43.060829162597656
2024-02-20,193.75999450683594,69.41720581054688,165.69000244140625,44.060401916503906
2024-02-21,194.77000427246094,67.43818664550781,164.2899932861328,43.021240234375
2024-02-22,197.41000366210938,78.49864959716797,181.86000061035156,42.53630065917969
2024-02-23,191.97000122070312,78.77750396728516,176.52000427246094,42.54619598388672
2024-02-26,199.39999389648438,79.0523681640625,176.00999450683594,42.54619598388672
2024-02-27,199.72999572753906,78.66156005859375,178.0,42.28887939453125
2024-02-28,202.0399932861328,77.62407684326172,176.5399932861328,41.556522369384766
2024-02-29,201.8800048828125,79.07235717773438,192.52999877929688,42.60557556152344
2024-03-01,202.63999938964844,82.2377700805664,202.63999938964844,43.36762619018555
2024-03-04,188.13999938964844,85.19428253173828,205.36000061035156,45.1391487121582
2024-03-05,180.74000549316406,85.9249496459961,205.1300048828125,42.71444320678711
2024-03-06,176.5399932861328,88.65970611572266,210.6300048828125,44.05050277709961
2024-03-07,178.64999389648438,92.62689971923828,211.3800048828125,45.67357635498047
2024-03-08,175.33999633789062,87.48823547363281,207.38999938964844,43.54576873779297
2024-03-11,177.77000427246094,85.73503112792969,198.38999938964844,44.39689254760742
2024-03-12,177.5399932861328,91.87125396728516,202.75999450683594,44.77296829223633
